Time,accX,accY,accZ
41.969139999999996,-50.0,69.0,1032.0
41.975808,-59.0,63.0,1030.0
41.982476,-54.0,67.0,1031.0
41.98914,-51.0,67.0,1028.0
41.995804,-51.0,65.0,1024.0
42.002468,-49.0,74.0,1027.0
42.009136,-50.0,70.0,1021.0
42.015803999999996,-55.0,69.0,1029.0
42.022467999999996,-53.0,70.0,1022.0
42.029136,-51.0,67.0,1018.0
42.035804,-52.0,62.0,1014.0
42.042468,-54.0,62.0,1020.0
42.049136,-49.0,67.0,1010.0
42.0558,-54.0,65.0,1006.0
42.062467999999996,-54.0,64.0,1005.0
42.069131999999996,-47.0,60.0,1010.0
42.0758,-50.0,65.0,1007.0
42.08246,-50.0,62.0,1007.0
42.089132,-51.0,66.0,1000.0
42.095791999999996,-53.0,61.0,998.0
42.102464,-55.0,60.0,1006.0
42.109124,-48.0,67.0,1010.0
42.115795999999996,-49.0,69.0,1007.0
42.122456,-50.0,61.0,1019.0
42.129128,-49.0,61.0,1009.0
42.135788,-52.0,68.0,1012.0
42.14246,-49.0,67.0,1020.0
42.149116,-50.0,63.0,1022.0
42.155788,-56.0,69.0,1027.0
42.162448,-54.0,70.0,1030.0
42.16912,-52.0,64.0,1020.0
42.175779999999996,-49.0,62.0,1028.0
42.182455999999995,-50.0,68.0,1033.0
42.189112,-56.0,63.0,1031.0
42.195783999999996,-52.0,72.0,1033.0
42.202444,-52.0,72.0,1034.0
42.20912,-56.0,65.0,1027.0
42.215784,-51.0,72.0,1031.0
42.222452,-52.0,66.0,1028.0
42.229116,-53.0,64.0,1022.0
42.23578,-51.0,60.0,1031.0
42.242447999999996,-50.0,71.0,1016.0
42.249112,-50.0,61.0,1025.0
42.25578,-49.0,69.0,1019.0
42.262443999999995,-48.0,63.0,1013.0
42.269112,-51.0,67.0,1017.0
42.275776,-48.0,65.0,1009.0
42.282444,-48.0,65.0,1005.0
42.289108,-50.0,63.0,1002.0
42.295776,-54.0,65.0,1009.0
42.30244,-49.0,66.0,1008.0
42.309107999999995,-55.0,71.0,998.0
42.315771999999996,-51.0,64.0,1001.0
42.32244,-48.0,67.0,1001.0
42.329104,-49.0,66.0,1005.0
42.335772,-52.0,68.0,1000.0
42.342436,-53.0,68.0,1011.0
42.349104,-53.0,65.0,1023.0
42.355768,-53.0,66.0,1018.0
42.362435999999995,-48.0,68.0,1018.0
42.369099999999996,-57.0,73.0,1012.0
42.375768,-55.0,64.0,1024.0
42.382432,-49.0,68.0,1026.0
42.3891,-50.0,63.0,1028.0
42.395768,-51.0,64.0,1033.0
42.402432,-52.0,65.0,1030.0
42.409096,-53.0,68.0,1038.0
42.415763999999996,-54.0,68.0,1037.0
42.422432,-51.0,69.0,1027.0
42.429096,-57.0,66.0,1036.0
42.435756,-52.0,68.0,1031.0
42.442428,-56.0,68.0,1023.0
42.449087999999996,-56.0,69.0,1033.0
42.45576,-52.0,67.0,1024.0
42.46242,-49.0,73.0,1024.0
42.469091999999996,-49.0,71.0,1016.0
42.475752,-51.0,71.0,1016.0
42.482424,-52.0,62.0,1018.0
42.48908,-50.0,65.0,1010.0
42.495756,-54.0,62.0,1010.0
42.502412,-53.0,58.0,1006.0
42.509088,-52.0,67.0,1009.0
42.515747999999995,-50.0,65.0,1005.0
42.52242,-49.0,65.0,1000.0
42.52908,-49.0,65.0,1007.0
42.535751999999995,-48.0,72.0,1004.0
42.542412,-47.0,71.0,1001.0
42.549084,-49.0,61.0,1014.0
42.555748,-53.0,71.0,1011.0
42.562416,-48.0,63.0,1015.0
42.569084,-52.0,64.0,1028.0
42.575748,-50.0,67.0,1016.0
42.582412,-51.0,64.0,1022.0
42.589079999999996,-54.0,65.0,1028.0
42.595743999999996,-54.0,63.0,1020.0
42.602408,-58.0,66.0,1023.0
42.609076,-54.0,69.0,1031.0
42.615744,-53.0,70.0,1029.0
42.622408,-60.0,69.0,1032.0
42.629076,-53.0,64.0,1030.0
42.63574,-50.0,73.0,1033.0
42.642407999999996,-53.0,63.0,1030.0
42.649072,-52.0,68.0,1026.0
42.65574,-52.0,68.0,1027.0
42.662408,-52.0,62.0,1027.0
42.669072,-50.0,67.0,1028.0
42.675736,-52.0,68.0,1024.0
42.682404,-53.0,61.0,1020.0
42.689068,-53.0,61.0,1019.0
42.695736,-49.0,65.0,1017.0
42.7024,-53.0,63.0,1014.0
