"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)",omegaa
6.094970700E-1,-2.862548828E-2,1.507568359E-2,4.577636719E-3,3.267490739E-2
6.118774410E-1,-3.289794922E-2,1.812744141E-2,7.629394531E-3,3.832866885E-2
6.142578130E-1,-3.289794922E-2,2.117919922E-2,8.239746094E-3,3.998408381E-2
6.166687010E-1,-3.472900391E-2,2.789306641E-2,9.460449219E-3,4.553709439E-2
6.190490720E-1,-3.656005859E-2,3.279113770E-2,1.068115234E-2,5.025916445E-2
6.214294430E-1,-3.961181641E-2,3.950500488E-2,1.007080078E-2,5.684331481E-2
6.238403320E-1,-4.327392578E-2,4.684448242E-2,1.007080078E-2,6.456360596E-2
6.262207030E-1,-4.266357422E-2,5.294799805E-2,9.460449219E-3,6.865253937E-2
6.286010740E-1,-4.450988770E-2,5.783081055E-2,8.850097656E-3,7.351093102E-2
6.310119630E-1,-4.510498047E-2,6.333923340E-2,8.850097656E-3,7.826009187E-2
6.333923340E-1,-4.510498047E-2,6.883239746E-2,8.850097656E-3,8.276884941E-2
6.357727050E-1,-4.632568359E-2,7.249450684E-2,9.460449219E-3,8.655069371E-2
6.381835940E-1,-4.817199707E-2,7.676696777E-2,7.629394531E-3,9.095007589E-2
6.405639650E-1,-5.000305176E-2,7.798767090E-2,6.408691406E-3,9.286255070E-2
6.429443360E-1,-5.061340332E-2,8.103942871E-2,6.408691406E-3,9.576104076E-2
6.453552250E-1,-5.305480957E-2,8.349609375E-2,3.967285156E-3,9.900580711E-2
6.477355960E-1,-5.366516113E-2,8.593750000E-2,3.356933594E-3,1.013729374E-1
6.501159670E-1,-5.732727051E-2,8.898925781E-2,2.136230469E-3,1.058776059E-1
6.525268560E-1,-5.976867676E-2,9.020996094E-2,-3.204345703E-4,1.082138367E-1
6.549072270E-1,-6.221008301E-2,9.265136719E-2,-3.356933594E-3,1.116496273E-1
6.572875980E-1,-6.405639648E-2,9.326171875E-2,-5.203247070E-3,1.132609549E-1
6.596679690E-1,-6.771850586E-2,9.509277344E-2,-4.577636719E-3,1.168305883E-1
6.620788580E-1,-6.893920898E-2,9.265136719E-2,-7.019042969E-3,1.156985624E-1
6.644592290E-1,-7.138061523E-2,9.082031250E-2,-9.475708008E-3,1.159021589E-1
6.668396000E-1,-7.199096680E-2,8.654785156E-2,-1.129150391E-2,1.131403022E-1
6.692504880E-1,-7.260131836E-2,8.103942871E-2,-1.373291016E-2,1.096673755E-1
6.716308590E-1,-7.626342773E-2,7.432556152E-2,-1.435852051E-2,1.074549516E-1
6.740112310E-1,-7.748413086E-2,6.578063965E-2,-1.373291016E-2,1.025644963E-1
6.764221190E-1,-7.748413086E-2,5.783081055E-2,-1.495361328E-2,9.783559543E-2
6.788024900E-1,-7.809448242E-2,4.928588867E-2,-1.435852051E-2,9.345594747E-2
6.811828610E-1,-7.809448242E-2,4.377746582E-2,-1.251220703E-2,9.039784302E-2
6.835937500E-1,-7.626342773E-2,3.584289551E-2,-1.313781738E-2,8.528438200E-2
6.859741210E-1,-7.382202148E-2,2.973937988E-2,-1.191711426E-2,8.047446293E-2
6.883544920E-1,-7.015991211E-2,2.423095703E-2,-1.191711426E-2,7.517692570E-2
6.907653810E-1,-6.832885742E-2,1.995849609E-2,-1.007080078E-2,7.189294368E-2
6.931457520E-1,-6.588745117E-2,1.934814453E-2,-1.007080078E-2,6.940409172E-2
